word,other,cos_image,cos_word
apple,baby,1.011700515343695,1.0682491924494628
apple,ball,0.9702253283036809,1.0066027963235857
apple,bear,1.0266636260660988,0.9841140423796868
apple,block,1.0171556583989207,0.9343216612615387
apple,book,1.0031703915081112,1.0693792183654085
apple,bottle,1.0158226628091909,0.9095206953986446
apple,car,0.9308873444167108,0.9240984719248745
apple,cat,0.9859936531817198,1.019517982738607
apple,chair,1.0310160626030807,1.0339871237498002
apple,cow,1.026727442802356,1.035433039992267
apple,cup,1.0101386334582734,0.9268279843131246
apple,dog,1.007477114020135,0.9791389992206022
apple,duck,0.9892466281441217,0.9890303122793492
apple,egg,1.0179567538608965,0.8993147067944223
apple,elephant,1.0124022878830061,1.047983242872318
apple,fish,0.9869234299631203,1.0659498762581956
apple,frog,0.9875869105115549,1.0475045607849705
apple,giraffe,1.038848561454207,0.9915998699669157
apple,milk,1.008376449687558,0.9822490548284751
apple,monkey,0.962255279094974,0.9937301453291214
apple,pig,1.0005752213782169,0.9235733171982872
apple,puppy,0.9681389679503764,1.0419788146845694
apple,spoon,0.9998409711186295,0.9556221009157742
apple,train,1.0116489009768321,1.013149131228758
apple,truck,1.013616484095727,1.0719261098555768
apple,water,1.0061239026907756,1.0012431808598556
baby,apple,1.011700515343695,1.0682491924494628
baby,ball,0.9548747920684163,1.039471678111823
baby,bear,0.9976381674395087,0.9473707924992705
baby,block,0.969393352447863,1.052429001448693
baby,book,1.0155363112353337,0.936632992870307
baby,bottle,1.01253718479196,0.9591377020807791
baby,car,1.0123672833214066,0.9046578076151485
baby,cat,1.0071009391154409,0.9501177490578091
baby,chair,1.0397751247123268,1.010796102629142
baby,cow,0.9780608477919213,1.0880554454118982
baby,cup,1.0069167390453668,1.0267242322963837
baby,dog,0.9859641027325144,1.0562623133070614
baby,duck,1.0170086682797426,1.0531086128618634
baby,egg,0.968931306382743,1.1194442948169137
baby,elephant,1.0055362896505793,1.0312177786578531
baby,fish,1.0271094819010664,0.8535047034648057
baby,frog,1.0005984472596836,1.122271563594134
baby,giraffe,1.0534155629178537,1.0049048551219746
baby,milk,1.0063721404498562,1.0325668166717288
baby,monkey,1.0141250139973772,1.0066406934400194
baby,pig,0.9938605224965245,1.0381563643106406
baby,puppy,0.9963017844701691,0.9746824197893666
baby,spoon,1.012809490209084,0.9948380511548915
baby,train,1.0190784133586577,0.9227147967378907
baby,truck,0.9922516194474562,0.9495153533403295
baby,water,0.9978699217122837,0.8901755254197689
ball,apple,0.9702253283036809,1.0066027963235857
ball,baby,0.9548747920684163,1.039471678111823
ball,bear,0.9968881214512364,0.9469084866462124
ball,block,0.9664114385303759,0.981505414527995
ball,book,1.0054812853639583,1.0214853464380618
ball,bottle,0.9666190137328547,1.0467732274033548
ball,car,0.9989513016738731,1.0157287777590154
ball,cat,1.000725669896487,1.0110667047739654
ball,chair,0.9896907590671334,0.9733186721878281
ball,cow,0.9845571359683308,1.039718053171091
ball,cup,1.0034061976477842,1.0778173744725186
ball,dog,1.0179530121254419,1.0685384498953878
ball,duck,0.9684665550746903,1.0732594836430622
ball,egg,0.9852225948954613,1.057146090209301
ball,elephant,0.9723062433019083,1.0081818242686713
ball,fish,1.0046241390856823,0.9645761777329904
ball,frog,0.9965784504624209,1.015923065507338
ball,giraffe,0.9966648853961212,0.9622596663594556
ball,milk,0.9823797867112998,0.9830982555783208
ball,monkey,0.9773157147820913,0.897591205619938
ball,pig,0.975457834886937,0.9363065239170035
ball,puppy,0.9675827845566588,1.028803637436824
ball,spoon,1.002793913866584,1.0726824656217044
ball,train,0.9535825931780809,0.9440305682992078
ball,truck,1.0224530960934932,0.9775747824554745
ball,water,0.9912807676304245,0.9397896829436109
bear,apple,1.0266636260660988,0.9841140423796868
bear,baby,0.9976381674395087,0.9473707924992705
bear,ball,0.9968881214512364,0.9469084866462124
bear,block,0.9989206612982472,1.0003272657984439
bear,book,1.0285988143980584,1.0255316981261466
bear,bottle,0.9841333384105075,0.9400255469421256
bear,car,0.9436356098122645,1.0116669109359893
bear,cat,0.9672235116837904,1.0521149725669157
bear,chair,1.0146079136688706,0.9978146100545747
bear,cow,1.0280085557134682,0.8542656442833789
bear,cup,1.0523734412375516,0.9062493056455818
bear,dog,0.9618129935868676,0.9914405421115096
bear,duck,0.9900527497146662,1.1037086624674308
bear,egg,0.9695454198299409,0.9854799309717632
bear,elephant,1.0095696588373555,1.0491051301459742
bear,fish,1.008878448784445,1.0645248892609747
bear,frog,0.9454229265317439,0.9981572666224201
bear,giraffe,1.009178093185277,1.0379410707898429
bear,milk,1.009132575190691,1.0007843141754054
bear,monkey,0.993255119772472,1.0532280743058215
bear,pig,1.0311717294104035,0.9749318079139866
bear,puppy,0.985207844351364,0.9511035358932795
bear,spoon,1.0055482232386501,0.9809321390641498
bear,train,1.0170534099440631,1.0500928324296077
bear,truck,1.0013453100057272,0.9782433397156836
bear,water,0.9919742370534682,0.999017236761024
block,apple,1.0171556583989207,0.9343216612615387
block,baby,0.969393352447863,1.052429001448693
block,ball,0.9664114385303759,0.981505414527995
block,bear,0.9989206612982472,1.0003272657984439
block,book,1.0266046364864696,1.0212911351186393
block,bottle,1.0018523750161141,1.0335456289494354
